Hash,Date,Author,Message,IsMerge
1e80c19b0f4a65076b1c9c56758b6ad3bf381c90,2017-01-06 21:20:29,John-David Dalton,Remove dead “modern environments” link from readme. [ci skip],False
6eeafd3dc2460dfd7d419a59161be26f6f90e8c9,2016-12-31 12:22:52,John-David Dalton,Update kitchen sink size. [ci skip],False
e33b15674d873cac092c4be86fe4bd902efc455f,2016-12-31 05:39:11,John-David Dalton,Ensure `_.omit` doesn’t mutate `object` with deep paths. [closes #2912],False
a23b918befa6f151217700938384cac1067ba12e,2016-12-31 05:37:58,John-David Dalton,Increment package version to enable ci tests.,False
ef618992b5c206fd07202d6234807085fe3b58d7,2016-12-26 22:13:11,John-David Dalton,Bump to v4.17.3.,False
708b962860116b4d77d6de01a371bb5c6d2f3b31,2016-12-26 22:13:11,John-David Dalton,Rebuild lodash and docs.,False
da2d08d7717457a00b6374a8a025bc770075243d,2016-12-26 22:13:11,John-David Dalton,Update deps.,False
30863e5fa69471fc50743fffca7d1d7c4d0d2626,2016-12-26 22:13:05,John-David Dalton,Fix conversion of npm package and source doc links. [ci skip],False
6672a4f9427f82d2602f6ef5205d1752c3667bf4,2016-12-24 22:51:51,John-David Dalton,Update fp doc template for `fp.reduceRight` iteratee argument order. [ci skip],False
f7263047bfd45f7fdd08d416872cacc4901148c5,2016-12-22 02:53:54,John-David Dalton,Use a strict `undefined` check for `arity` in `createWrap`.,False
02fdf4e673df417058971ed0d97b4d9b5aa84672,2016-12-22 02:53:54,John-David Dalton,Wrap in ternary value within `hashHas` in parens for clarity.,False
e2c703a96f70e6cc99b6e7585c734b47aa7ec595,2016-12-22 02:53:54,John-David Dalton,Avoid more coercion.,False
32fdfcc1e56885e14c12da9da28d4a8c2df9a7e5,2016-12-22 00:04:28,John-David Dalton,"Avoid coercing `position` in `_.startsWith`, if it’s `undefined`.",False
6c1ae0b54d68096788e6c8647ef55b9811bc02c8,2016-12-21 11:49:59,John-David Dalton,Update Safari in sauce.,False
0c1c87b046b6365762c90eb4efa37a3e60710bdc,2016-12-21 04:24:40,John-David Dalton,Update Firefox in sauce.,False
b51786e72e8b6810be2e09a7bfb37816560d67c5,2016-12-21 04:24:40,John-David Dalton,Fix lazy sequence test fails.,False
5ee5099af1befc9748bfaad821d403a54f31807e,2016-12-21 04:24:40,John-David Dalton,Update code skipped on the coverage run.,False
482dc9478b834225ff8575930aa496e162f63c02,2016-12-21 04:24:40,John-David Dalton,Remove array length limit for lay evaluation. [closes #2874],False
528b6a98a9c7cfc4ef9d64346a4eae3150a068b6,2016-12-06 11:45:09,John-David Dalton,Minor doc space nit. [ci skip],False
a8bcb5f3d55139431ed15ac6555c5fc6f8779e7d,2016-12-06 11:45:09,John-David Dalton,ES6 to ES2015 nit. [ci skip],False
d429f90ec5ea71daaa20214030dfbbcdad95c6e3,2016-12-06 11:45:09,Dave Wasmer,Mention ES6 delimiters in templateSettings docs (#2857),False
